Danh mục	Tên dịch vụ (VN)	Tên dịch vụ (EN)	Thời lượng nhỏ nhất (phút)	Giá tại mốc nhỏ nhất (VNĐ)	Tất cả mốc thời gian	Là tiện ích
Additional	Cạo râu (dao cạo)	Shave (razor)	N/A	210000	N/A	
Additional	Chà gót chân	Heel skin shave	30	315000	30	
Additional	Gội đầu & sấy khô	Hair wash & blow dry	45	420000	45	
Additional	Làm móng tay & chân	Manicure & Pedicure	30	315000	30	
Additional	Mát-xa chân	Foot massage	45	370000	45	
Additional	Mát-xa đầu cổ vai & tay	Head neck shoulder & Arm massage	45	370000	45	
Additional	Mát-xa lưng	Back massage	30	315000	30	
Additional	Phòng riêng	Private room	N/A	105000	N/A	Có
Barber	Cạo/tỉa râu	Beard shave/trim	N/A	210000	N/A	
Barber	Cắt tóc	Haircut	N/A	265000	N/A	
Barber	Gói cắt tóc 1	Barber Package 1	N/A	370000	N/A	
Barber	Gói cắt tóc 2	Barber Package 2	N/A	570000	N/A	
Barber	Gói cắt tóc 3	Barber Package 3	N/A	915000	N/A	
Barber	Gói cắt tóc 4	Barber Package 4	90	630000	90	
Barber	Gói cắt tóc 5	Barber Package 5	120	840000	120	
Body	Ấn huyệt	Shiatsu	60	630000	60, 70, 90, 120, 180, 240, 300	
Body	Đá nóng	Hot stone	70	685000	70, 90, 120, 180, 240, 300	
Body	Dầu dừa	Coconut oil	60	580000	60, 70, 90, 120, 180, 240, 300	
Body	Hai kỹ thuật viên	Four hand	60	895000	60, 90, 120, 180, 240, 300	
Body	Kết hợp 4 liệu trình	Mix of four therapies	70	685000	70, 90, 120, 180, 240, 300	
Body	Thái	Thai	70	685000	70, 90, 120, 180, 240, 300	
Body	Tinh dầu	Aroma oil	60	525000	60, 70, 90, 120, 180, 240, 300	
Ear Clean	120m | Lấy ráy tai, đầu vai cổ, chăm sóc toàn thân, mặt & gội	120m | Ear, Head Neck Shoulder, Full Body Care, Facial & Wash	120	1105000	120	
Ear Clean	70m | Lấy ráy tai, đầu vai cổ và chăm sóc chân	70m | Ear, Head Neck Shoulder & Foot Care	70	685000	70	
Ear Clean	70m | Lấy ráy tai, đầu vai cổ, chăm sóc toàn thân	70m | Ear, Head Neck Shoulder, Full Body Care	70	705000	70	
Ear Clean	90m | Lấy ráy tai, đầu vai cổ và chăm sóc chân	90m | Ear, Head Neck Shoulder & Foot Care	90	790000	90	
Ear Clean	90m | Lấy ráy tai, đầu vai cổ, chăm sóc toàn thân	90m | Ear, Head Neck Shoulder, Full Body Care	90	810000	90	
Ear Clean	Lấy ráy tai	Ear Clean	30	315000	30, 45, 60	
Facial	Chăm sóc da mặt	Facial	45	420000	45, 45, 60	
Facial	Gói chăm sóc da mặt 1	Facial Package 1	90	810000	90	
Facial	Gói chăm sóc da mặt 2	Facial Package 2	90	840000	90	
Facial	Gói chăm sóc da mặt 3	Facial Package 3	120	1105000	120	
Foot	Ấn huyệt chân chuyên nghiệp	Foot care	45	370000	45, 60, 70, 90, 120, 180, 240, 300	
Hair Wash	Gội đầu	Hair wash	30	315000	30, 45, 60	
Hair Wash	Gói gội đầu 1	Hair Wash Package 1	70	685000	70	
Hair Wash	Gói gội đầu 2	Hair Wash Package 2	90	790000	90	
Hair Wash	Gói gội đầu 3	Hair Wash Package 3	70	705000	70	
Hair Wash	Gói gội đầu 4	Hair Wash Package 4	90	810000	90	
Hair Wash	Gói gội đầu 5	Hair Wash Package 5	120	1105000	120	
Heel Skin Shave	Chà gót chân	Heel skin shave	30	315000	30	
Heel Skin Shave	Gói chà gót chân 1	Heel skin shave Package 1	70	630000	70	
Heel Skin Shave	Gói chà gót chân 2	Heel skin shave Package 2	90	735000	90	
Heel Skin Shave	Gói chà gót chân 3	Heel skin shave Package 3	70	685000	70	
Heel Skin Shave	Gói chà gót chân 4	Heel skin shave Package 4	90	790000	90	
Manicure & Pedicure	Gói làm móng tay + chân 1	Manicure & Pedicure Package 1	70	665000	70	
Manicure & Pedicure	Gói làm móng tay + chân 2	Manicure & Pedicure Package 2	90	790000	90	
Manicure & Pedicure	Gói làm móng tay + chân 3	Manicure & Pedicure Package 3	70	685000	70	
Manicure & Pedicure	Gói làm móng tay + chân 4	Manicure & Pedicure Package 4	90	810000	90	
Manicure & Pedicure	Làm móng tay & chân	Manicure & Pedicure	30	315000	30	
Premium	Gói dịch vụ cao cấp	Combo King	120	1575000	120	